,super_opeid,mr_overall,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
279,7265,3.0073910699999997,3.1083409900000003,3.0464564,3.04118332,2.8818541100000004,3.0010688520000004
280,2340,2.1373079500000003,2.177517754,2.195562598,2.22335358,2.1861194299999998,2.10459334
281,3303,2.531841215,2.6715708000000005,2.5037945149999996,2.77736769,2.4016034950000003,2.31055175
282,3242,1.857753706,2.1472449129999998,2.044140722,1.971415725,1.8151517090000002,1.811551176
283,9748,3.172501424,3.3018898660000007,3.2493274750000003,3.2239490830000004,3.0730620350000004,2.7702333300000004
284,21006,3.4136268589999994,3.4720515040000004,3.4960131789999997,3.362654873,3.3306826800000002,3.06063178
285,30425,3.448445544,3.3600903170000005,3.408838927,3.485660228,3.456624591,3.6906781
286,2526,2.26990024,2.656326958,2.192535382,2.144241658,2.2962539580000003,2.2923018
287,31007,2.70845776,3.12332619,2.7301228600000003,2.7282744699999997,2.64388137,2.6998821299999998
288,3838,2.300751185,2.7333179800000003,2.50651819,2.4814631800000004,2.27852768,2.1388406399999997
289,3481,2.69145651,2.94801378,2.78486781,2.5787711700000004,2.59011391,2.72567197
290,8081,3.332744824,3.602908839,3.358578444,3.21106238,3.251427803,3.1245480199999998
291,3839,2.240681089,2.522718468,2.5536095420000002,2.3815886649999998,2.21428801,2.117379455
292,34835,2.68217617,2.9760087840000002,2.7029765899999996,2.8934662099999997,2.6585800500000003,2.57311213
293,3024,1.7699234970000002,1.876892752,1.922618715,1.7441753740000001,1.735159163,1.7662026229999999
294,3928,2.6161358100000003,2.9344664,2.72955153,2.68711603,2.4399999,2.4709944900000003
295,2914,2.482802935,2.579899334,2.49930927,2.7959216999999996,2.46530249,2.3297723649999997
296,5318,3.07460147,3.4032748849999996,3.1241257680000003,3.10365519,2.93787963,2.9228845900000002
297,1437,2.077901093,2.698177189,2.34828071,2.04400677,2.20461826,1.9985876299999998
298,2861,2.96277776,3.3057370120000003,3.17041138,2.9865077199999996,2.7661851850000003,2.68453125
299,2685,2.91893055,3.3117080899999998,2.8456564,2.8957959100000004,2.832626,2.8846010599999996
300,8308,2.84590376,3.43235968,2.8346769099999998,2.73225756,2.7878568999999995,2.82133046
301,3025,2.6331383099999996,2.68941133,2.3934172499999997,2.737492,2.63243588,2.62679119
302,2599,2.6911714,2.787207115,2.48875161,2.77379672,2.558042306,2.78366944
303,2003,2.27401139,2.354098475,2.374315775,2.044030222,2.3083332,2.3042740399999997
304,23328,3.418951078,3.6036851100000002,3.399505691,3.136723,3.30316123,2.6587479000000003
305,7283,3.00551869,3.3023619519999996,3.05922014,3.09779393,2.7718498,2.57050809
306,5449,3.1553582170000003,3.293540066,3.252646853,3.1822613140000007,3.0586020400000007,2.86732926
307,3995,3.195302103,3.3579235200000004,3.2957538179999997,3.0634167299999997,2.9908600099999996,3.0468175200000003
308,1850,2.25420687,2.5801641799999997,2.39855377,2.4035531900000002,2.22462228,2.07939991
309,20995,2.8956631749999997,3.167500502,3.027508882,2.85310415,2.74391206,2.661402625
310,1378,2.259211475,2.455686905,2.397575785,2.339435178,2.22557001,2.181560925
311,5763,3.417417882,3.576832397,3.3591319229999996,3.3086261959999996,3.274627123,3.340215437
312,2453,2.61957692,3.0276377899999996,2.783388335,2.5639389049999997,2.581076025,2.3939638599999995
313,2243,2.37137118,2.6358536200000002,2.54184197,2.47732285,2.37141781,2.26201685
314,4742,3.19407993,3.4407816250000005,3.307742497,3.1501208,3.00862346,3.00204178
